"","sign_p.value","effect_size","p.adjust","enrich","tax","group","enrich2"
"GuYY_2017_Acarbose_D90.Blautia_SGB4815",0.12129731145172,0.219,0.188467328008318,"none","Blautia_SGB4815","GuYY_2017_Acarbose_D90","None"
"GuYY_2017_Acarbose_D90.Blautia_sp_Marseille_P3087",0.988447100690434,0.00205,0.988447100690434,"none","Blautia_sp_Marseille_P3087","GuYY_2017_Acarbose_D90","None"
"GuYY_2017_Acarbose_D90.Blautia_sp_MSK_20_85",1.65516520763058e-09,-0.853,4.78342745005237e-07,"D90","Blautia_sp_MSK_20_85","GuYY_2017_Acarbose_D90","q<=0.05"
"GuYY_2017_Acarbose_D90.Blautia_sp_OF03_15BH",2.02675704646952e-05,-0.602,0.000209190280867747,"D90","Blautia_sp_OF03_15BH","GuYY_2017_Acarbose_D90","q<=0.05"
"GuYY_2017_Acarbose_D90.Blautia_stercoris",0.0260758188185499,-0.315,0.0575260430424499,"none","Blautia_stercoris","GuYY_2017_Acarbose_D90","P<=0.05"
"GuYY_2017_Acarbose_D90.Blautia_wexlerae",0.197497984579942,-0.182,0.275733901176828,"none","Blautia_wexlerae","GuYY_2017_Acarbose_D90","None"
"GuYY_2017_Acarbose_D90.Butyricicoccus_sp_AM29_23AC",0.681612045236676,-0.058,0.754735176526434,"none","Butyricicoccus_sp_AM29_23AC","GuYY_2017_Acarbose_D90","None"
"GuYY_2017_Acarbose_D90.Butyricimonas_faecihominis",0.00568069734854655,-0.392,0.0152011253123145,"D90","Butyricimonas_faecihominis","GuYY_2017_Acarbose_D90","q<=0.05"
"GuYY_2017_Acarbose_D90.Butyricimonas_paravirosa",0.194161602991827,-0.184,0.275062270905089,"none","Butyricimonas_paravirosa","GuYY_2017_Acarbose_D90","None"
"GuYY_2017_Acarbose_D90.Butyricimonas_SGB15260",0.911606272067425,-0.0157,0.927655678265795,"none","Butyricimonas_SGB15260","GuYY_2017_Acarbose_D90","None"
"GuYY_2017_Acarbose_D90.Butyricimonas_sp_Marseille_P3923",0.294924012810716,-0.148,0.387422907737713,"none","Butyricimonas_sp_Marseille_P3923","GuYY_2017_Acarbose_D90","None"
"GuYY_2017_Acarbose_D90.Butyricimonas_virosa",0.00308909711571759,0.419,0.00883909966774636,"D0","Butyricimonas_virosa","GuYY_2017_Acarbose_D90","q<=0.05"
"GuYY_2017_Acarbose_D90.Candidatus_Cibionibacter_quicibialis",4.170651567192e-05,-0.58,0.000344376657976711,"D90","Candidatus_Cibionibacter_quicibialis","GuYY_2017_Acarbose_D90","q<=0.05"
"GuYY_2017_Acarbose_D90.Candidatus_Nanosynsacchari_sp_TM7_ANC_38_39_G1_1",0.00281094742681571,-0.423,0.0083748846015437,"D90","Candidatus_Nanosynsacchari_sp_TM7_ANC_38_39_G1_1","GuYY_2017_Acarbose_D90","q<=0.05"
"GuYY_2017_Acarbose_D90.Catenibacterium_SGB4425",0.114494165543492,-0.223,0.181806669461919,"none","Catenibacterium_SGB4425","GuYY_2017_Acarbose_D90","None"
"GuYY_2017_Acarbose_D90.Christensenellaceae_bacterium_NSJ_63",0.942283911026099,0.0102,0.952168007994904,"none","Christensenellaceae_bacterium_NSJ_63","GuYY_2017_Acarbose_D90","None"
"GuYY_2017_Acarbose_D90.Clostridia_bacterium_UC5_1_1D1",0.790651142855412,-0.0375,0.85579842803451,"none","Clostridia_bacterium_UC5_1_1D1","GuYY_2017_Acarbose_D90","None"
"GuYY_2017_Acarbose_D90.Clostridiaceae_bacterium",0.00173330963818152,0.443,0.00556584983816067,"D0","Clostridiaceae_bacterium","GuYY_2017_Acarbose_D90","q<=0.05"
"GuYY_2017_Acarbose_D90.Clostridiaceae_bacterium_AF18_31LB",0.0317253154990033,-0.304,0.0664392476754489,"none","Clostridiaceae_bacterium_AF18_31LB","GuYY_2017_Acarbose_D90","P<=0.05"
"GuYY_2017_Acarbose_D90.Clostridiaceae_bacterium_Marseille_Q3526",0.552728411090297,0.084,0.654666027889736,"none","Clostridiaceae_bacterium_Marseille_Q3526","GuYY_2017_Acarbose_D90","None"
"GuYY_2017_Acarbose_D90.Clostridiaceae_bacterium_Marseille_Q4143",0.000115029232886914,-0.546,0.000707307410730175,"D90","Clostridiaceae_bacterium_Marseille_Q4143","GuYY_2017_Acarbose_D90","q<=0.05"
"GuYY_2017_Acarbose_D90.Clostridiaceae_bacterium_Marseille_Q4145",6.69206633545428e-06,-0.636,0.000101789851102436,"D90","Clostridiaceae_bacterium_Marseille_Q4145","GuYY_2017_Acarbose_D90","q<=0.05"
"GuYY_2017_Acarbose_D90.Clostridiaceae_bacterium_Marseille_Q4149",0.392930388092577,-0.121,0.500250582197158,"none","Clostridiaceae_bacterium_Marseille_Q4149","GuYY_2017_Acarbose_D90","None"
"GuYY_2017_Acarbose_D90.Clostridiaceae_unclassified_SGB4771",0.0421521211373512,-0.287,0.0823105608695575,"none","Clostridiaceae_unclassified_SGB4771","GuYY_2017_Acarbose_D90","P<=0.05"
"GuYY_2017_Acarbose_D90.Clostridiales_bacterium",0.00239774237917989,0.43,0.00745104889874181,"D0","Clostridiales_bacterium","GuYY_2017_Acarbose_D90","q<=0.05"
"GuYY_2017_Acarbose_D90.Clostridiales_bacterium_KLE1615",0.888681686055255,-0.0198,0.910741160531804,"none","Clostridiales_bacterium_KLE1615","GuYY_2017_Acarbose_D90","None"
"GuYY_2017_Acarbose_D90.Clostridiales_Family_XIII_bacterium_BX16",0.828053443066769,0.0307,0.879806783258442,"none","Clostridiales_Family_XIII_bacterium_BX16","GuYY_2017_Acarbose_D90","None"
"GuYY_2017_Acarbose_D90.Clostridium_butyricum",0.873448987797753,0.0225,0.901524133834109,"none","Clostridium_butyricum","GuYY_2017_Acarbose_D90","None"
"GuYY_2017_Acarbose_D90.Clostridium_fessum",0.000129438243740454,0.542,0.000719377931557523,"D0","Clostridium_fessum","GuYY_2017_Acarbose_D90","q<=0.05"
"GuYY_2017_Acarbose_D90.Clostridium_leptum",0.0213178673868089,0.325,0.0477586331378896,"D0","Clostridium_leptum","GuYY_2017_Acarbose_D90","q<=0.05"
"GuYY_2017_Acarbose_D90.Clostridium_SGB4750",0.252659502270558,-0.161,0.342810310592447,"none","Clostridium_SGB4750","GuYY_2017_Acarbose_D90","None"
"GuYY_2017_Acarbose_D90.Clostridium_SGB4751",0.0673552313312314,-0.259,0.119421238372551,"none","Clostridium_SGB4751","GuYY_2017_Acarbose_D90","None"
"GuYY_2017_Acarbose_D90.Clostridium_SGB6179",0.00116085256914433,-0.46,0.00404200472870738,"D90","Clostridium_SGB6179","GuYY_2017_Acarbose_D90","q<=0.05"
"GuYY_2017_Acarbose_D90.Clostridium_sp_1001270H_150608_G6",0.835583868927477,0.0294,0.88132751138701,"none","Clostridium_sp_1001270H_150608_G6","GuYY_2017_Acarbose_D90","None"
"GuYY_2017_Acarbose_D90.Clostridium_sp_1001270J_160509_D11",6.5620497241854e-05,-0.564,0.000499061150076206,"D90","Clostridium_sp_1001270J_160509_D11","GuYY_2017_Acarbose_D90","q<=0.05"
"GuYY_2017_Acarbose_D90.Clostridium_sp_AF12_28",0.00263842968138607,-0.426,0.00802638082021657,"D90","Clostridium_sp_AF12_28","GuYY_2017_Acarbose_D90","q<=0.05"
"GuYY_2017_Acarbose_D90.Clostridium_sp_AF20_17LB",7.37844890371567e-08,-0.761,3.55395288862305e-06,"D90","Clostridium_sp_AF20_17LB","GuYY_2017_Acarbose_D90","q<=0.05"
"GuYY_2017_Acarbose_D90.Clostridium_sp_AF27_2AA",0.911606272067425,0.0157,0.927655678265795,"none","Clostridium_sp_AF27_2AA","GuYY_2017_Acarbose_D90","None"
"GuYY_2017_Acarbose_D90.Clostridium_sp_AF32_12BH",0.0958747414572182,-0.236,0.159240231500782,"none","Clostridium_sp_AF32_12BH","GuYY_2017_Acarbose_D90","None"
"GuYY_2017_Acarbose_D90.Clostridium_sp_AF34_10BH",0.000978646268925631,0.467,0.00353535964649384,"D0","Clostridium_sp_AF34_10BH","GuYY_2017_Acarbose_D90","q<=0.05"
"GuYY_2017_Acarbose_D90.Clostridium_sp_AF34_13",0.00308909711571751,-0.419,0.00883909966774636,"D90","Clostridium_sp_AF34_13","GuYY_2017_Acarbose_D90","q<=0.05"
"GuYY_2017_Acarbose_D90.Clostridium_sp_AF36_4",0.294924012810716,0.148,0.387422907737713,"none","Clostridium_sp_AF36_4","GuYY_2017_Acarbose_D90","None"
"GuYY_2017_Acarbose_D90.Clostridium_sp_AM22_11AC",0.175008298276776,-0.192,0.251628846776061,"none","Clostridium_sp_AM22_11AC","GuYY_2017_Acarbose_D90","None"
"GuYY_2017_Acarbose_D90.Clostridium_sp_AM33_3",0.00128473298344039,-0.455,0.00426767623234797,"D90","Clostridium_sp_AM33_3","GuYY_2017_Acarbose_D90","q<=0.05"
"GuYY_2017_Acarbose_D90.Clostridium_sp_AM42_4",0.484013051060937,-0.099,0.592710897273775,"none","Clostridium_sp_AM42_4","GuYY_2017_Acarbose_D90","None"
"GuYY_2017_Acarbose_D90.Clostridium_sp_AM49_4BH",0.843129396960963,0.028,0.886052348078975,"none","Clostridium_sp_AM49_4BH","GuYY_2017_Acarbose_D90","None"
"GuYY_2017_Acarbose_D90.Clostridium_sp_AT4",0.0764980910433652,0.25,0.130816262198417,"none","Clostridium_sp_AT4","GuYY_2017_Acarbose_D90","None"
"GuYY_2017_Acarbose_D90.Clostridium_symbiosum",0.154487406942565,-0.201,0.228958259520007,"none","Clostridium_symbiosum","GuYY_2017_Acarbose_D90","None"
"GuYY_2017_Acarbose_D90.Collinsella_aerofaciens",2.92598769059257e-08,-0.785,3.08614868570019e-06,"D90","Collinsella_aerofaciens","GuYY_2017_Acarbose_D90","q<=0.05"
"GuYY_2017_Acarbose_D90.Collinsella_SGB14861",7.41159177797777e-05,-0.56,0.000522426835081848,"D90","Collinsella_SGB14861","GuYY_2017_Acarbose_D90","q<=0.05"
"GuYY_2017_Acarbose_D90.Collinsella_SGB4121",2.30632769095358e-05,-0.598,0.000215009258930834,"D90","Collinsella_SGB4121","GuYY_2017_Acarbose_D90","q<=0.05"
"GuYY_2017_Acarbose_D90.Coprobacillus_cateniformis",0.632766014705938,-0.0676,0.714333508789125,"none","Coprobacillus_cateniformis","GuYY_2017_Acarbose_D90","None"
"GuYY_2017_Acarbose_D90.Coprobacter_fastidiosus",0.0702973764824457,-0.256,0.122385191586909,"none","Coprobacter_fastidiosus","GuYY_2017_Acarbose_D90","None"
"GuYY_2017_Acarbose_D90.Coprococcus_catus",0.000852356849440822,-0.472,0.00324119907221576,"D90","Coprococcus_catus","GuYY_2017_Acarbose_D90","q<=0.05"
"GuYY_2017_Acarbose_D90.Coprococcus_comes",1.89893201937388e-06,-0.673,4.98901230544592e-05,"D90","Coprococcus_comes","GuYY_2017_Acarbose_D90","q<=0.05"
"GuYY_2017_Acarbose_D90.Coprococcus_eutactus",0.3876052271813,0.122,0.495654471926529,"none","Coprococcus_eutactus","GuYY_2017_Acarbose_D90","None"
"GuYY_2017_Acarbose_D90.Coprococcus_SGB4669",5.80524251046288e-05,-0.569,0.00045343650960102,"D90","Coprococcus_SGB4669","GuYY_2017_Acarbose_D90","q<=0.05"
"GuYY_2017_Acarbose_D90.Desulfovibrio_SGB5077",0.000300170449660915,-0.512,0.00139918161212911,"D90","Desulfovibrio_SGB5077","GuYY_2017_Acarbose_D90","q<=0.05"
"GuYY_2017_Acarbose_D90.Dialister_hominis",4.22922567025828e-06,-0.651,7.44830642878482e-05,"D90","Dialister_hominis","GuYY_2017_Acarbose_D90","q<=0.05"
"GuYY_2017_Acarbose_D90.Dialister_invisus",8.3644324700542e-05,-0.556,0.000562167670661782,"D90","Dialister_invisus","GuYY_2017_Acarbose_D90","q<=0.05"
"GuYY_2017_Acarbose_D90.Dielma_fastidiosa",0.000119655174074763,-0.544,0.000719377931557523,"D90","Dielma_fastidiosa","GuYY_2017_Acarbose_D90","q<=0.05"
"GuYY_2017_Acarbose_D90.Dorea_formicigenerans",0.000882428456729239,-0.471,0.00326951056403532,"D90","Dorea_formicigenerans","GuYY_2017_Acarbose_D90","q<=0.05"
"GuYY_2017_Acarbose_D90.Dorea_longicatena",8.03464498221765e-05,-0.557,0.000552860095204976,"D90","Dorea_longicatena","GuYY_2017_Acarbose_D90","q<=0.05"
"GuYY_2017_Acarbose_D90.Dorea_sp_AF24_7LB",0.00339212891971326,-0.414,0.00961103193918758,"D90","Dorea_sp_AF24_7LB","GuYY_2017_Acarbose_D90","q<=0.05"
"GuYY_2017_Acarbose_D90.Dorea_sp_AF36_15AT",0.0287814111618189,-0.31,0.0607140717209173,"none","Dorea_sp_AF36_15AT","GuYY_2017_Acarbose_D90","P<=0.05"
"GuYY_2017_Acarbose_D90.Dysosmobacter_sp_BX15",0.160154524509844,0.198,0.236146212159923,"none","Dysosmobacter_sp_BX15","GuYY_2017_Acarbose_D90","None"
"GuYY_2017_Acarbose_D90.Dysosmobacter_sp_NSJ_60",0.0197392957137621,0.33,0.0449185548132068,"D0","Dysosmobacter_sp_NSJ_60","GuYY_2017_Acarbose_D90","q<=0.05"
"GuYY_2017_Acarbose_D90.Dysosmobacter_welbionis",0.000248870690318759,0.518,0.0011790758934774,"D0","Dysosmobacter_welbionis","GuYY_2017_Acarbose_D90","q<=0.05"
"GuYY_2017_Acarbose_D90.Eggerthella_lenta",0.539887450952641,0.0867,0.650114472188805,"none","Eggerthella_lenta","GuYY_2017_Acarbose_D90","None"
"GuYY_2017_Acarbose_D90.Eisenbergiella_tayi",0.00146891635066855,-0.45,0.00482405483344559,"D90","Eisenbergiella_tayi","GuYY_2017_Acarbose_D90","q<=0.05"
"GuYY_2017_Acarbose_D90.Enterocloster_aldenensis",0.00585110181911186,0.39,0.0155134717956269,"D0","Enterocloster_aldenensis","GuYY_2017_Acarbose_D90","q<=0.05"
"GuYY_2017_Acarbose_D90.Enterocloster_asparagiformis",0.592126527158545,-0.0758,0.692812009509391,"none","Enterocloster_asparagiformis","GuYY_2017_Acarbose_D90","None"
"GuYY_2017_Acarbose_D90.Enterocloster_bolteae",1.14705715175134e-05,0.621,0.000138124798690057,"D0","Enterocloster_bolteae","GuYY_2017_Acarbose_D90","q<=0.05"
"GuYY_2017_Acarbose_D90.Enterocloster_citroniae",0.00156986432464556,0.447,0.00509764932384908,"D0","Enterocloster_citroniae","GuYY_2017_Acarbose_D90","q<=0.05"
"GuYY_2017_Acarbose_D90.Enterocloster_clostridioformis",0.0978155582114959,-0.235,0.160617592745013,"none","Enterocloster_clostridioformis","GuYY_2017_Acarbose_D90","None"
"GuYY_2017_Acarbose_D90.Enterocloster_lavalensis",0.681612045236676,-0.058,0.754735176526434,"none","Enterocloster_lavalensis","GuYY_2017_Acarbose_D90","None"
"GuYY_2017_Acarbose_D90.Erysipelatoclostridium_ramosum",0.110128102487133,-0.226,0.176816786771008,"none","Erysipelatoclostridium_ramosum","GuYY_2017_Acarbose_D90","None"
"GuYY_2017_Acarbose_D90.Escherichia_coli",0.197497984579942,-0.182,0.275733901176828,"none","Escherichia_coli","GuYY_2017_Acarbose_D90","None"
"GuYY_2017_Acarbose_D90.Escherichia_marmotae",0.000157296001339064,-0.535,0.000841824896055362,"D90","Escherichia_marmotae","GuYY_2017_Acarbose_D90","q<=0.05"
"GuYY_2017_Acarbose_D90.Eubacteriaceae_bacterium",0.0565824443854561,0.27,0.106183937840239,"none","Eubacteriaceae_bacterium","GuYY_2017_Acarbose_D90","None"
"GuYY_2017_Acarbose_D90.Eubacteriales_unclassified_SGB15145",0.341681567694036,-0.134,0.44681435775374,"none","Eubacteriales_unclassified_SGB15145","GuYY_2017_Acarbose_D90","None"
"GuYY_2017_Acarbose_D90.Eubacterium_ramulus",0.437106302711657,0.11,0.542161894779695,"none","Eubacterium_ramulus","GuYY_2017_Acarbose_D90","None"
"GuYY_2017_Acarbose_D90.Eubacterium_rectale",0.00108450195013926,-0.462,0.00382220809256396,"D90","Eubacterium_rectale","GuYY_2017_Acarbose_D90","q<=0.05"
"GuYY_2017_Acarbose_D90.Eubacterium_siraeum",0.0147911423935643,-0.345,0.0353276045598355,"D90","Eubacterium_siraeum","GuYY_2017_Acarbose_D90","q<=0.05"
"GuYY_2017_Acarbose_D90.Eubacterium_sp_AF34_35BH",0.850689352946624,0.0266,0.89075805435353,"none","Eubacterium_sp_AF34_35BH","GuYY_2017_Acarbose_D90","None"
"GuYY_2017_Acarbose_D90.Eubacterium_sp_NSJ_61",0.585471395743157,-0.0771,0.690617279060295,"none","Eubacterium_sp_NSJ_61","GuYY_2017_Acarbose_D90","None"
"GuYY_2017_Acarbose_D90.Eubacterium_ventriosum",0.0182637733862041,0.334,0.0422258440689039,"D0","Eubacterium_ventriosum","GuYY_2017_Acarbose_D90","q<=0.05"
"GuYY_2017_Acarbose_D90.Evtepia_gabavorous",0.0506079881301555,0.276,0.0962217669053615,"none","Evtepia_gabavorous","GuYY_2017_Acarbose_D90","None"
"GuYY_2017_Acarbose_D90.Faecalibacillus_intestinalis",0.674545633706127,0.0594,0.752678332591007,"none","Faecalibacillus_intestinalis","GuYY_2017_Acarbose_D90","None"
"GuYY_2017_Acarbose_D90.Faecalibacterium_prausnitzii",4.42961522250767e-06,-0.649,7.44830642878482e-05,"D90","Faecalibacterium_prausnitzii","GuYY_2017_Acarbose_D90","q<=0.05"
"GuYY_2017_Acarbose_D90.Faecalibacterium_SGB15315",0.00120086327563266,-0.458,0.00413154150783142,"D90","Faecalibacterium_SGB15315","GuYY_2017_Acarbose_D90","q<=0.05"
"GuYY_2017_Acarbose_D90.Faecalibacterium_SGB15346",0.0197392957137622,-0.33,0.0449185548132068,"D90","Faecalibacterium_SGB15346","GuYY_2017_Acarbose_D90","q<=0.05"
"GuYY_2017_Acarbose_D90.Faecalicatena_fissicatena",0.204296245390245,-0.18,0.283853917873946,"none","Faecalicatena_fissicatena","GuYY_2017_Acarbose_D90","None"
"GuYY_2017_Acarbose_D90.Faecalimonas_umbilicata",0.598816166547257,-0.0744,0.695011534667298,"none","Faecalimonas_umbilicata","GuYY_2017_Acarbose_D90","None"
