,label,value,phylum
Collinsella_aerofaciens,Collinsella_aerofaciens,35,Actinobacteria
Coprobacter_fastidiosus,Coprobacter_fastidiosus,19,Bacteroidetes
Coprococcus_catus,Coprococcus_catus,3,Firmicutes
Coprococcus_comes,Coprococcus_comes,0,Firmicutes
Desulfovibrio_desulfuricans,Desulfovibrio_desulfuricans,3,Proteobacteria
Dialister_invisus,Dialister_invisus,0,Firmicutes
Dorea_formicigenerans,Dorea_formicigenerans,0,Firmicutes
Dorea_longicatena,Dorea_longicatena,2,Firmicutes
Eggerthella_lenta,Eggerthella_lenta,10,Actinobacteria
Enterobacter_cloacae,Enterobacter_cloacae,1,Proteobacteria
Erysipelotrichaceae_bacterium_2_2_44A,Erysipelotrichaceae_bacterium_2_2_44A,4,Firmicutes
Erysipelotrichaceae_bacterium_21_3,Erysipelotrichaceae_bacterium_21_3,5,Firmicutes
Erysipelotrichaceae_bacterium_6_1_45,Erysipelotrichaceae_bacterium_6_1_45,4,Firmicutes
Escherichia_coli,Escherichia_coli,0,Proteobacteria
Eubacterium_biforme,Eubacterium_biforme,5,Firmicutes
Eubacterium_eligens,Eubacterium_eligens,0,Firmicutes
Eubacterium_hallii,Eubacterium_hallii,0,Firmicutes
Eubacterium_ramulus,Eubacterium_ramulus,2,Firmicutes
Eubacterium_rectale,Eubacterium_rectale,0,Firmicutes
Eubacterium_siraeum,Eubacterium_siraeum,18,Firmicutes
Eubacterium_ventriosum,Eubacterium_ventriosum,0,Firmicutes
Faecalibacterium_prausnitzii,Faecalibacterium_prausnitzii,1,Firmicutes
Flavonifractor_plautii,Flavonifractor_plautii,1,Firmicutes
Gemella_sanguinis,Gemella_sanguinis,4,Firmicutes
Gordonibacter_pamelaeae,Gordonibacter_pamelaeae,7,Actinobacteria
Granulicatella_adiacens,Granulicatella_adiacens,4,Firmicutes
Haemophilus_parainfluenzae,Haemophilus_parainfluenzae,1,Proteobacteria
Holdemania_filiformis,Holdemania_filiformis,1,Firmicutes
Klebsiella_pneumoniae,Klebsiella_pneumoniae,2,Proteobacteria
Lachnospiraceae_bacterium_1_1_57FAA,Lachnospiraceae_bacterium_1_1_57FAA,2,Firmicutes
Lachnospiraceae_bacterium_1_4_56FAA,Lachnospiraceae_bacterium_1_4_56FAA,1,Firmicutes
Lachnospiraceae_bacterium_2_1_58FAA,Lachnospiraceae_bacterium_2_1_58FAA,1,Firmicutes
Lachnospiraceae_bacterium_3_1_46FAA,Lachnospiraceae_bacterium_3_1_46FAA,4,Firmicutes
Lachnospiraceae_bacterium_3_1_57FAA_CT1,Lachnospiraceae_bacterium_3_1_57FAA_CT1,7,Firmicutes
Lachnospiraceae_bacterium_5_1_63FAA,Lachnospiraceae_bacterium_5_1_63FAA,0,Firmicutes
Lachnospiraceae_bacterium_7_1_58FAA,Lachnospiraceae_bacterium_7_1_58FAA,2,Firmicutes
Lachnospiraceae_bacterium_8_1_57FAA,Lachnospiraceae_bacterium_8_1_57FAA,3,Firmicutes
Lachnospiraceae_bacterium_9_1_43BFAA,Lachnospiraceae_bacterium_9_1_43BFAA,5,Firmicutes
Megamonas_funiformis,Megamonas_funiformis,15,Firmicutes
Megamonas_hypermegale,Megamonas_hypermegale,11,Firmicutes
Megamonas_rupellensis,Megamonas_rupellensis,9,Firmicutes
Odoribacter_splanchnicus,Odoribacter_splanchnicus,1,Bacteroidetes
Oxalobacter_formigenes,Oxalobacter_formigenes,9,Proteobacteria
Parabacteroides_distasonis,Parabacteroides_distasonis,1,Bacteroidetes
Parabacteroides_goldsteinii,Parabacteroides_goldsteinii,1,Bacteroidetes
Parabacteroides_johnsonii,Parabacteroides_johnsonii,0,Bacteroidetes
Parabacteroides_merdae,Parabacteroides_merdae,1,Bacteroidetes
Paraprevotella_clara,Paraprevotella_clara,1,Bacteroidetes
Paraprevotella_xylaniphila,Paraprevotella_xylaniphila,2,Bacteroidetes
Parasutterella_excrementihominis,Parasutterella_excrementihominis,2,Proteobacteria
Prevotella_copri,Prevotella_copri,4,Bacteroidetes
Prevotella_stercorea,Prevotella_stercorea,1,Bacteroidetes
Roseburia_hominis,Roseburia_hominis,11,Firmicutes
Roseburia_intestinalis,Roseburia_intestinalis,13,Firmicutes
Roseburia_inulinivorans,Roseburia_inulinivorans,11,Firmicutes
Rothia_mucilaginosa,Rothia_mucilaginosa,0,Actinobacteria
Ruminococcaceae_bacterium_D16,Ruminococcaceae_bacterium_D16,5,Firmicutes
Ruminococcus_albus,Ruminococcus_albus,25,Firmicutes
Ruminococcus_bromii,Ruminococcus_bromii,3,Firmicutes
Ruminococcus_callidus,Ruminococcus_callidus,30,Firmicutes
Ruminococcus_gnavus,Ruminococcus_gnavus,5,Firmicutes
Ruminococcus_lactaris,Ruminococcus_lactaris,16,Firmicutes
Ruminococcus_obeum,Ruminococcus_obeum,1,Firmicutes
Ruminococcus_sp_5_1_39BFAA,Ruminococcus_sp_5_1_39BFAA,13,Firmicutes
Ruminococcus_torques,Ruminococcus_torques,1,Firmicutes
Solobacterium_moorei,Solobacterium_moorei,1,Firmicutes
Streptococcus_anginosus,Streptococcus_anginosus,1,Firmicutes
Streptococcus_australis,Streptococcus_australis,5,Firmicutes
Streptococcus_gordonii,Streptococcus_gordonii,9,Firmicutes
Streptococcus_infantis,Streptococcus_infantis,2,Firmicutes
Streptococcus_mitis_oralis_pneumoniae,Streptococcus_mitis_oralis_pneumoniae,1,Firmicutes
Streptococcus_parasanguinis,Streptococcus_parasanguinis,0,Firmicutes
Streptococcus_salivarius,Streptococcus_salivarius,5,Firmicutes
Streptococcus_sanguinis,Streptococcus_sanguinis,1,Firmicutes
Streptococcus_thermophilus,Streptococcus_thermophilus,19,Firmicutes
Streptococcus_vestibularis,Streptococcus_vestibularis,0,Firmicutes
Sutterella_wadsworthensis,Sutterella_wadsworthensis,4,Proteobacteria
Veillonella_atypica,Veillonella_atypica,1,Firmicutes
Veillonella_dispar,Veillonella_dispar,1,Firmicutes
Veillonella_parvula,Veillonella_parvula,1,Firmicutes
