,label,value,phylum
Lachnospiraceae_bacterium_9_1_43BFAA,Lachnospiraceae_bacterium_9_1_43BFAA,3,Firmicutes
Megamonas_funiformis,Megamonas_funiformis,3,Firmicutes
Megamonas_hypermegale,Megamonas_hypermegale,1,Firmicutes
Megamonas_rupellensis,Megamonas_rupellensis,0,Firmicutes
Odoribacter_splanchnicus,Odoribacter_splanchnicus,2,Bacteroidetes
Oxalobacter_formigenes,Oxalobacter_formigenes,20,Proteobacteria
Parabacteroides_distasonis,Parabacteroides_distasonis,0,Bacteroidetes
Parabacteroides_goldsteinii,Parabacteroides_goldsteinii,1,Bacteroidetes
Parabacteroides_johnsonii,Parabacteroides_johnsonii,1,Bacteroidetes
Parabacteroides_merdae,Parabacteroides_merdae,2,Bacteroidetes
Paraprevotella_clara,Paraprevotella_clara,0,Bacteroidetes
Paraprevotella_xylaniphila,Paraprevotella_xylaniphila,0,Bacteroidetes
Parasutterella_excrementihominis,Parasutterella_excrementihominis,0,Proteobacteria
Prevotella_copri,Prevotella_copri,2,Bacteroidetes
Prevotella_stercorea,Prevotella_stercorea,0,Bacteroidetes
Roseburia_hominis,Roseburia_hominis,1,Firmicutes
Roseburia_intestinalis,Roseburia_intestinalis,1,Firmicutes
Roseburia_inulinivorans,Roseburia_inulinivorans,0,Firmicutes
Rothia_mucilaginosa,Rothia_mucilaginosa,0,Actinobacteria
Ruminococcaceae_bacterium_D16,Ruminococcaceae_bacterium_D16,7,Firmicutes
Ruminococcus_albus,Ruminococcus_albus,4,Firmicutes
Ruminococcus_bromii,Ruminococcus_bromii,0,Firmicutes
Ruminococcus_callidus,Ruminococcus_callidus,2,Firmicutes
Ruminococcus_gnavus,Ruminococcus_gnavus,2,Firmicutes
Ruminococcus_lactaris,Ruminococcus_lactaris,2,Firmicutes
Ruminococcus_obeum,Ruminococcus_obeum,1,Firmicutes
Ruminococcus_sp_5_1_39BFAA,Ruminococcus_sp_5_1_39BFAA,1,Firmicutes
Ruminococcus_torques,Ruminococcus_torques,2,Firmicutes
Solobacterium_moorei,Solobacterium_moorei,0,Firmicutes
Streptococcus_anginosus,Streptococcus_anginosus,1,Firmicutes
Streptococcus_australis,Streptococcus_australis,0,Firmicutes
Streptococcus_gordonii,Streptococcus_gordonii,0,Firmicutes
Streptococcus_infantis,Streptococcus_infantis,0,Firmicutes
Streptococcus_mitis_oralis_pneumoniae,Streptococcus_mitis_oralis_pneumoniae,0,Firmicutes
Streptococcus_parasanguinis,Streptococcus_parasanguinis,0,Firmicutes
Streptococcus_salivarius,Streptococcus_salivarius,0,Firmicutes
Streptococcus_sanguinis,Streptococcus_sanguinis,0,Firmicutes
Streptococcus_thermophilus,Streptococcus_thermophilus,0,Firmicutes
Streptococcus_vestibularis,Streptococcus_vestibularis,1,Firmicutes
Sutterella_wadsworthensis,Sutterella_wadsworthensis,0,Proteobacteria
Veillonella_atypica,Veillonella_atypica,1,Firmicutes
Veillonella_dispar,Veillonella_dispar,1,Firmicutes
Veillonella_parvula,Veillonella_parvula,3,Firmicutes
